Locus_ID,log2FoldChange
LOC105668190,1.083504107
LOC105668191,0.344650026
LOC105668192,-0.351358025
LOC105668193,-0.057057925
LOC105668194,0.282155167
LOC105668195,-0.576179438
LOC105668196,-0.116597012
LOC105668197,-1.253122802
LOC105668198,0.481450854
LOC105668199,0.463819878
LOC105668200,-0.098771409
LOC105668201,-0.46261496
LOC105668202,0.591540239
LOC105668203,0.467826195
LOC105668204,0.339261385
LOC105668205,0.399375801
LOC105668206,-1.190625281
LOC105668207,1.973902409
LOC105668208,-0.816081488
LOC105668209,-0.714327353
LOC105668211,0.698563444
LOC105668212,-0.221710348
LOC105668213,0.488024616
LOC105668214,0.06116864
LOC105668215,-0.097043151
LOC105668216,0.086584105
LOC105668217,0.155237424
LOC105668218,0.373196808
LOC105668219,0.582598549
LOC105668220,-0.25564644
LOC105668221,-0.710992237
LOC105668222,0.037667695
LOC105668223,-0.896029607
LOC105668224,0.310649708
LOC105668225,-0.041435816
LOC105668226,-0.177703323
LOC105668227,0.18365668
LOC105668228,0.188210465
LOC105668229,0.276979395
LOC105668230,-0.011234213
LOC105668231,-0.039266246
LOC105668232,0.275091017
LOC105668233,0.302368022
LOC105668234,0.257939997
LOC105668235,0.752007126
LOC105668236,0.112544546
LOC105668237,0.247176585
LOC105668238,0.334158557
LOC105668239,0.084638905
LOC105668240,0.335052831
LOC105668241,-1.149773084
LOC105668242,0.507365972
LOC105668243,0.496376737
LOC105668244,0.035120355
LOC105668245,0.595379205
LOC105668246,0.288565904
LOC105668247,0.939415733
LOC105668248,-0.060729218
LOC105668249,0.300775071
LOC105668250,-0.450020537
LOC105668251,0.10437827
LOC105668252,0.338048496
LOC105668253,0.641300144
LOC105668254,0.4666629
LOC105668255,0.551228322
LOC105668256,-0.46220984
LOC105668257,-0.536077144
LOC105668258,-0.254989208
LOC105668259,0.180684694
LOC105668260,-0.554375999
LOC105668261,0.355171028
LOC105668262,0.424605781
LOC105668263,0.038763078
LOC105668264,0.13154948
LOC105668266,0.611179412
LOC105668267,0.285927988
LOC105668268,0.544648393
LOC105668270,0.458505805
LOC105668271,0.571431919
LOC105668272,0.144012138
LOC105668273,-0.36420518
LOC105668274,0.516955676
LOC105668275,-0.356960067
LOC105668276,-0.410414462
LOC105668277,0.05860787
LOC105668278,-0.095707836
LOC105668280,0.332606524
LOC105668281,0.412708283
LOC105668282,0.515182431
LOC105668283,0.417300209
LOC105668284,0.311319598
LOC105668285,0.245583047
LOC105668286,0.509124255
LOC105668287,-0.090066461
LOC105668288,-0.04025267
LOC105668289,0.473657204
LOC105668290,-0.076658267
LOC105668291,0.092496051
LOC105668292,0.380213013
LOC105668293,1.557243304
LOC105668294,0.175599557
LOC105668295,-0.365906085
LOC105668296,0.355885136
LOC105668297,-0.435302076
LOC105668298,-0.234146619
LOC105668299,-0.181542445
LOC105668301,0.049989167
LOC105668302,0.168196933
LOC105668303,0.332925996
LOC105668304,0.540230147
LOC105668305,0.643373226
LOC105668306,-0.365685864
LOC105668307,-0.265863423
LOC105668308,0.191937167
LOC105668309,0.240529867
LOC105668310,-0.030938818
LOC105668311,-0.589066332
LOC105668312,0.3487854
LOC105668313,0.3476232
LOC105668314,0.357289553
LOC105668315,0.119428835
LOC105668316,0.046895645
LOC105668317,-0.142122142
LOC105668318,-0.185602063
LOC105668319,0.160402812
LOC105668320,0.00612909
LOC105668321,-0.049929323
LOC105668322,0.095273153
LOC105668323,0.082135949
LOC105668324,-0.056015398
LOC105668325,-0.178634679
LOC105668326,-0.109162318
LOC105668327,-1.022707172
LOC105668328,0.135778887
LOC105668329,0.623718676
LOC105668330,0.571798252
LOC105668331,-0.37172701
